fy,full_sample,sel_index,typen,borrowers,undergrad_bor,grad_bor,both_grad_undergrad,parplus_bor,fst_sel_index1,fst_sel_index2,fst_sel_index3,fst_sel_index4,fst_sel_index5,fst_sel_index6,lst_sel_index1,lst_sel_index2,lst_sel_index3,lst_sel_index4,lst_sel_index5,lst_sel_index6,fst_typen1,fst_typen2,fst_typen3,fst_typen4,fst_typen5,fst_typen6,lst_typen1,lst_typen2,lst_typen3,lst_typen4,lst_typen5,lst_typen6,tot_bal,undergrad_loans,grad_loans,parplus_loans,mn_tot_bal,md_tot_bal,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,pct75_tot_bal,pct75_undergrad_l,pct75_grad_l,pct90_tot_bal,pct90_undergrad_l,pct90_grad_l,mn_duration_borrowing,md_duration_borrowing,graduated,grad2,grad4,i_cdr2,i_cdr3,i_cdr5,alt_cdr2,alt_cdr3,alt_cdr5,alt_cdr2_f,alt_cdr2_dnf,rr2,rr5,neg_am2,neg_am5,mn_fam_inc,dependent,female,first_gen,median_hh,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,age_entry,cpi_adj
1979,,1,,23,23,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,44,42,2,0,1880,1705,1830,1700,3455,2450,,,2175,2165,3540,3005,2915,10300,1.921,0,,,,0.205,0.24,0.272,0.23,0.251,0.28,,,0.844,0.555,0.11,0.118,,,,,,,,,,,,,,,0.381639
1980,,1,,32,32,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,67,64,3,0,2060,1925,2005,1895,2485,2080,,,2195,2185,2575,3715,3370,4720,2.268,0,,,,0.171,0.214,0.261,0.199,0.229,0.264,,,0.843,0.556,0.085,0.106,,,,,,,,,,,,,,,0.42186
1981,,1,,55,54,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,114,110,4,0,2090,2095,2040,2095,2725,2120,,,2200,2200,2970,3540,3430,5000,1.995,0,,,,0.179,0.229,0.283,0.209,0.251,0.293,,,0.844,0.561,0.108,0.132,,,,,,,,,,,,,,,0.452594
1982,,1,,108,106,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,244,237,8,0,2270,2145,2230,2145,2785,2185,,,2230,2225,3410,3820,3715,4395,1.821,0,,,,0.177,0.224,0.281,0.202,0.246,0.288,,,0.85,0.571,0.121,0.145,,,,,,,,,,,,,,,0.474364
1983,,1,,159,157,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,395,382,14,0,2480,2165,2425,2165,3505,2195,,,2530,2525,4240,4240,4230,8570,1.885,0,,,,0.239,0.303,0.351,0.276,0.321,0.355,,,0.856,0.578,0.137,0.152,,,,,,,,,,,,,,,0.491878
1984,,1,,195,193,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,485,473,12,0,2490,2165,2450,2165,4005,2420,,,2500,2500,4320,4235,4235,8585,1.608,0,,,,0.293,0.372,0.412,0.345,0.388,0.417,,,0.858,0.586,0.182,0.19,,,,,,,,,,,,,,,0.509814
1985,,1,,267,266,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,680,667,13,0,2545,2165,2510,2165,4460,2500,,,2500,2500,4480,4260,4245,10330,1.556,0,,,,0.317,0.37,0.41,0.35,0.382,0.415,,,0.855,0.582,0.166,0.171,,,,,,,,,,,,,,,0.528431
1986,,1,,352,350,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,909,892,16,0,2580,2175,2550,2175,4910,2575,2525,2305,2565,2550,4410,4265,4250,15345,1.359,0,,,,0.317,0.366,0.405,0.347,0.376,0.413,,,0.855,0.582,0.136,0.145,,,,,,,,,,,,,,,0.536539
1987,,1,,445,443,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,1154,1138,16,0,2595,2175,2570,2175,3870,2205,2135,2310,2650,2650,3780,4275,4270,8300,1.233,0,,,,0.292,0.349,0.405,0.328,0.365,0.417,,,0.853,0.582,0.122,0.148,,,,,,,,,,,,,,,0.556903
1988,,1,,676,674,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,1868,1847,21,1,2760,2275,2740,2275,5005,2675,2385,2150,2770,2760,4870,4485,4460,11405,0.975,0,,,,0.403,0.474,0.558,0.449,0.503,0.567,,,0.859,0.811,0.223,0.328,,,,,,,,,,,,,,,0.580705
