fy,full_sample,sel_index,typen,borrowers,undergrad_bor,grad_bor,both_grad_undergrad,parplus_bor,fst_sel_index1,fst_sel_index2,fst_sel_index3,fst_sel_index4,fst_sel_index5,fst_sel_index6,lst_sel_index1,lst_sel_index2,lst_sel_index3,lst_sel_index4,lst_sel_index5,lst_sel_index6,fst_typen1,fst_typen2,fst_typen3,fst_typen4,fst_typen5,fst_typen6,lst_typen1,lst_typen2,lst_typen3,lst_typen4,lst_typen5,lst_typen6,tot_bal,undergrad_loans,grad_loans,parplus_loans,mn_tot_bal,md_tot_bal,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,pct75_tot_bal,pct75_undergrad_l,pct75_grad_l,pct90_tot_bal,pct90_undergrad_l,pct90_grad_l,mn_duration_borrowing,md_duration_borrowing,graduated,grad2,grad4,i_cdr2,i_cdr3,i_cdr5,alt_cdr2,alt_cdr3,alt_cdr5,alt_cdr2_f,alt_cdr2_dnf,rr2,rr5,neg_am2,neg_am5,mn_fam_inc,dependent,female,first_gen,median_hh,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,age_entry,cpi_adj
1983,,3,,116,115,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,480,400,81,0,4150,3330,3460,3000,5380,4295,,,4870,4335,8380,7990,6365,10335,3.419,1,,,,0.075,0.111,0.138,0.091,0.118,0.14,,,0.845,0.553,0.069,0.078,,,,,,,,,,,,,,,0.491878
1984,,3,,126,126,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,581,484,97,0,4615,3890,3855,3535,6640,4790,,,5880,5000,9360,8530,6780,12955,3.436,1,,,,0.091,0.119,0.14,0.105,0.125,0.142,,,0.846,0.554,0.063,0.071,,,,,,,,,,,,,,,0.509814
1985,,3,,141,140,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,657,554,103,0,4675,3925,3955,3500,7880,6975,4365,4075,6190,5395,11400,8545,7475,15400,3.468,1,,,,0.099,0.127,0.152,0.114,0.133,0.156,,,0.846,0.555,0.066,0.078,,,,,,,,,,,,,,,0.528431
1986,,3,,150,149,1,13,0,,,,,,,,,,,,,,,,,,,,,,,,,714,600,114,0,4755,3960,4015,3435,8075,6680,2425,2425,6320,5445,12395,8825,7930,15945,3.415,1,,,,0.112,0.139,0.17,0.125,0.146,0.175,,,0.846,0.555,0.074,0.092,,,,,,,,,,,,,,,0.536539
1987,,3,,148,148,1,12,0,,,,,,,,,,,,,,,,,,,,,,,,,714,605,109,0,4815,3970,4105,3550,8700,7255,,,6300,5460,12635,8795,8000,17140,3.301,1,,,,0.113,0.148,0.186,0.131,0.156,0.192,,,0.846,0.551,0.083,0.101,,,,,,,,,,,,,,,0.556903
1988,,3,,148,147,1,13,0,,,,,,,,,,,,,,,,,,,,,,,,,723,596,127,0,4890,3640,4055,3295,9410,7265,2375,2420,6260,5435,13105,9200,7950,19420,3.035,1,,,,0.165,0.213,0.262,0.19,0.227,0.269,,,0.847,0.553,0.129,0.167,,,,,,,,,,,,,,,0.580705
1989,,3,,138,138,1,12,0,,,,,,,,,,,,,,,,,,,,,,,,,737,600,137,1,5330,3935,4365,3545,10830,7400,3250,3060,6560,6005,14185,10320,8580,23600,2.983,1,,,,0.151,0.204,0.26,0.181,0.216,0.266,,,0.846,0.545,0.143,0.176,,,,,,,,,,,,,,,0.60299
1990,,3,,135,134,1,12,0,,,,,,,,,,,,,,,,,,,,,,,,,776,605,171,1,5740,3925,4510,3505,12815,9190,2960,2565,6920,6075,18680,11235,8940,27715,2.942,1,,,,0.179,0.228,0.278,0.203,0.24,0.283,,,0.846,0.545,0.165,0.189,,,,,,,,,,,,,,,0.631967
1991,,3,,131,129,1,12,0,,,,,,,,,,,,,,,,,,,,,,,,,788,617,171,2,6040,3965,4775,3730,13205,8770,5045,3325,7165,6315,19000,12210,9970,32470,2.9,1,,,,0.153,0.203,0.257,0.177,0.216,0.264,,,0.841,0.545,0.16,0.192,,,,,,,,,,,,,,,0.648323
1992,,3,,131,130,2,11,1,,,,,,,,,,,,,,,,,,,,,,,,,854,684,170,2,6505,4335,5285,3950,13625,9800,3505,3340,8190,7160,19845,13280,11170,31775,2.871,1,,,,0.141,0.196,0.254,0.167,0.21,0.261,,,0.84,0.545,0.161,0.192,,,,,,,,,,,,,,,0.665147
1993,,3,,139,137,2,12,1,,,,,,,,,,,,,,,,,,,,,,,,,970,765,205,3,6955,4640,5565,4125,14825,10345,3540,3215,8635,7535,22145,13960,11755,34700,2.817,1,,,,0.146,0.196,0.259,0.171,0.211,0.266,,,0.842,0.562,0.159,0.248,,,,,,,,,,,,,,,0.679709
1994,,3,,149,147,2,11,1,,,,,,,,,,,,,,,,,,,,,,,,,1096,899,196,3,7345,4945,6125,4600,15165,10710,4015,2750,9530,8455,21020,14955,12815,37005,2.75,1,,,,0.128,0.187,0.249,0.154,0.206,0.256,,,0.851,0.555,0.175,0.258,,,,,,,,,,,,,,,0.694281
1995,,3,,152,150,2,10,1,,,,,,,,,,,,,,,,,,,,,,,,,1298,1055,244,4,8555,5710,7055,5225,20165,13020,6530,3095,10945,9625,25985,17160,14485,47045,2.749,1,,,,0.126,0.185,0.233,0.152,0.198,0.238,,,0.855,0.59,0.191,0.277,34420,0.503,0.456,0.579,57083,0.01,0.068,0.025,24980,12245,41595,24980,,,0.707602
1996,,3,,166,164,3,12,1,,,,,,,,,,,,,,,,,,,,,,,,,1649,1330,319,3,9925,6610,8130,6030,21645,15055,4845,3720,12770,11310,31400,20345,16625,53090,2.758,1,0.565,0.043,0.538,0.123,0.176,0.218,0.151,0.189,0.224,0.094,0.229,0.911,0.606,0.368,0.293,33420,0.482,0.515,0.491,49345,0.194,0.171,0.048,24080,16310,38965,24080,18695,,0.724261
1997,,3,,174,170,4,15,0,,,,,,,,,,,,,,,,,,,,,,,,,1972,1560,412,3,11330,7690,9155,6865,22435,15710,6685,3190,15050,13330,28405,23015,18960,56475,2.898,2,0.555,0.043,0.529,0.108,0.153,0.198,0.134,0.163,0.204,0.083,0.197,0.932,0.645,0.405,0.317,36700,0.481,0.534,0.484,53687,0.134,0.124,0.042,26715,17480,42305,26715,27205,,0.732323
1998,,3,,179,176,4,16,1,,,,,,,,,,,,,,,,,,,,,,,,,2366,1852,514,5,13195,8900,10540,7910,26490,16835,9585,7835,17105,15155,33310,27185,22075,70345,3.078,2,0.533,0.043,0.51,0.083,0.121,0.174,0.097,0.136,0.181,0.061,0.138,0.926,0.658,0.363,0.306,37505,0.511,0.529,0.465,49353,0.186,0.155,0.047,26120,16770,43235,26070,18315,,0.738253
1999,,3,,190,187,3,17,0,,,,,,,,,,,,,,,,,,,,,,,,,2627,2082,545,4,13795,9190,11125,8280,27445,18555,9615,5545,17930,15820,37185,29605,23945,64135,3.051,2,0.509,0.038,0.486,0.076,0.125,0.178,0.093,0.141,0.185,0.056,0.132,0.928,0.67,0.385,0.315,39460,0.554,0.556,0.459,49463,0.197,0.158,0.044,29010,18120,42495,28960,23955,21,0.753413
2000,,3,,196,192,4,18,1,,,,,,,,,,,,,,,,,,,,,,,,,2850,2240,611,6,14545,9885,11675,8700,27605,18605,11255,6765,18820,16575,36260,31330,24980,64090,3.238,2,0.498,0.045,0.474,0.082,0.13,0.183,0.1,0.143,0.19,0.055,0.146,0.94,0.698,0.397,0.307,40470,0.586,0.547,0.459,52590,0.162,0.12,0.041,29925,17695,43655,29965,26220,21,0.77168
2001,,3,,195,192,4,20,1,,,,,,,,,,,,,,,,,,,,,,,,,3061,2352,709,5,15685,10455,12275,9385,29840,19980,9920,8065,19845,17335,38705,34510,26225,65215,3.313,2,0.508,0.043,0.482,0.077,0.124,0.179,0.097,0.139,0.187,0.053,0.144,0.932,0.741,0.389,0.319,42855,0.62,0.528,0.452,53974,0.152,0.113,0.04,32875,18510,46600,32920,32425,21,0.779909
2002,,3,,192,188,4,22,1,,,,,,,,,,,,,,,,,,,,,,,,,3117,2358,760,12,16255,10520,12530,9285,30025,19315,15290,10415,20740,17530,37530,35980,27270,68510,3.437,2,0.517,0.045,0.489,0.074,0.115,0.172,0.088,0.13,0.179,0.046,0.132,0.935,0.749,0.371,0.308,44845,0.635,0.54,0.452,54622,0.143,0.111,0.039,34220,20390,47910,34225,35270,21,0.796383
2003,,3,,205,202,3,25,1,,,,,,,,,,,,,,,,,,,,,,,,,3432,2584,848,18,16770,10620,12815,9565,30715,19670,14450,6265,20905,17725,38085,37985,28215,68385,3.539,2,0.514,0.047,0.485,0.066,0.117,0.174,0.086,0.131,0.182,0.042,0.133,0.939,0.767,0.372,0.305,46865,0.648,0.539,0.462,54679,0.136,0.111,0.039,37005,20280,50215,36970,34615,21,0.811654
2004,,3,,229,226,3,28,1,,,,,,,,,,,,,,,,,,,,,,,,,3966,2958,1008,13,17310,11135,13095,9905,31905,21295,10425,6310,21510,18485,38410,38810,28505,71115,3.685,2,0.534,0.056,0.499,0.069,0.113,0.181,0.087,0.131,0.189,0.044,0.135,0.946,0.786,0.379,0.301,47675,0.657,0.553,0.461,55290,0.137,0.108,0.038,36675,20160,49890,36725,35585,21,0.834702
2005,,3,,268,264,4,37,2,,,,,,,,,,,,,,,,,,,,,,,,,4936,3640,1296,22,18390,12100,13770,10685,31680,21670,13565,7645,22370,19020,38720,41110,29655,66125,3.831,2,0.566,0.057,0.532,0.067,0.127,0.183,0.093,0.143,0.19,0.043,0.157,0.958,0.794,0.401,0.309,48275,0.658,0.562,0.451,55175,0.137,0.109,0.038,36430,20530,50470,36420,37515,21,0.858669
2006,,3,,285,282,3,41,2,,,,,,,,,,,,,,,,,,,,,,,,,5607,4095,1512,27,19695,13120,14535,11180,34190,24695,14445,8685,24815,20490,41420,44460,31770,71520,3.988,2,0.581,0.061,0.545,0.078,0.136,0.194,0.104,0.153,0.2,0.048,0.182,0.976,0.825,0.427,0.334,48335,0.659,0.568,0.452,55284,0.136,0.11,0.038,36665,19985,49655,36655,38420,21,0.876992
2007,,3,,268,265,3,36,1,,,,,,,,,,,,,,,,,,,,,,,,,5329,3979,1350,17,19900,13035,15040,11390,34085,25895,13550,10300,25560,21220,41835,45440,33425,69770,4.049,2,0.579,0.069,0.538,0.094,0.161,0.23,0.127,0.183,0.241,0.06,0.22,0.983,0.835,0.453,0.358,48150,0.665,0.574,0.454,54608,0.141,0.114,0.039,35330,20130,48095,35310,37915,21,0.906824
2008,,3,,271,266,5,35,1,,,,,,,,,,,,,,,,,,,,,,,,,5585,4074,1510,21,20600,13390,15305,11485,37880,28065,14700,8815,25450,21205,47825,47440,34285,80135,4.141,3,0.595,0.079,0.546,0.098,0.173,0.256,0.134,0.195,0.268,0.073,0.225,0.974,0.822,0.453,0.375,49305,0.685,0.577,0.448,55564,0.138,0.113,0.039,37420,19615,49400,37325,40250,20,0.910217
2009,,3,,322,314,8,45,2,,,,,,,,,,,,,,,,,,,,,,,,,6962,4933,2028,33,21625,13795,15700,11775,38365,28320,14785,9120,26810,21570,48165,49000,34845,81470,4.402,3,0.627,0.083,0.58,0.103,0.183,0.262,0.145,0.204,0.272,0.085,0.247,0.99,0.846,0.477,0.405,50680,0.701,0.583,0.435,55043,0.137,0.115,0.039,38175,20845,50070,38225,38725,20,0.929017
2010,,3,,333,326,8,49,3,,,,,,,,,,,,,,,,,,,,,,,,,8378,5901,2477,37,25145,16455,18120,14245,44205,31605,14265,9235,31345,24615,53850,55800,39855,100645,4.778,3,0.624,0.085,0.578,0.105,0.177,,0.142,0.201,,0.077,0.249,1.021,,0.535,,50415,0.701,0.586,0.431,55165,0.142,0.114,0.039,37295,18710,50400,37280,37225,20,0.941916
2011,,3,,407,398,8,56,3,,,,,,,,,,,,,,,,,,,,,,,,,10761,7665,3096,65,26465,16980,19245,14780,47905,35105,19370,10675,32900,26450,61275,60220,42805,108925,4.962,3,0.636,0.096,0.583,0.121,0.178,,0.153,0.2,,0.094,0.258,1.037,,0.56,,49520,0.699,0.584,0.432,55518,0.145,0.111,0.039,36260,17590,49320,36115,40870,20,0.965479
2012,,3,,479,470,9,66,4,,,,,,,,,,,,,,,,,,,,,,,,,13509,9724,3785,86,28185,18480,20685,15765,50180,36195,19935,10875,35500,28975,63710,63505,46000,112665,5.044,3,0.658,0.1,0.605,0.103,,,0.133,,,0.091,0.214,1.049,,0.588,,48575,0.691,0.595,0.439,55534,0.152,0.112,0.039,34495,17240,46425,34460,37370,20,0.980216
2013,,3,,527,517,9,73,4,,,,,,,,,,,,,,,,,,,,,,,,,15878,11429,4449,88,30155,19990,22085,17170,54405,39120,22350,12970,38235,31630,70850,65930,48860,120820,5.11,3,0.613,0.093,0.562,,,,,,,,,,,,,47630,0.7,0.6,0.437,55378,0.157,0.113,0.039,33320,16755,44795,33175,36925,20,0.992323
2014,,3,,582,573,9,81,5,,,,,,,,,,,,,,,,,,,,,,,,,18566,13425,5141,83,31915,21230,23440,18620,57255,40850,17340,12260,40420,33480,71740,67580,51990,125830,5.182,3,0.571,0.081,0.529,,,,,,,,,,,,,47805,0.71,0.612,0.424,55502,0.162,0.113,0.039,33125,16660,44280,33030,37925,20,1
1970,,4,,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,945,875,945,875,,,,,1285,1285,,1535,1535,,1.405,0,,,,0.054,0.054,0.054,0.054,0.054,0.054,,,0.84,0.55,0,0,,,,,,,,,,,,,,,0.209694
1971,,4,,3,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,0,1160,870,1140,865,920,1135,,,1275,1255,1290,2535,2535,1290,2.22,0,,,,0.03,0.03,0.083,0.03,0.038,0.106,,,0.841,0.543,0.008,0.016,,,,,,,,,,,,,,,0.217343
1972,,4,,11,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,14,14,0,0,1230,890,1220,890,1680,835,,,1310,1310,3400,2080,2060,3400,1.92,0,,,,0.036,0.047,0.103,0.038,0.058,0.112,,,0.841,0.538,0.011,0.03,,,,,,,,,,,,,,,0.224633
1973,,4,,18,18,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,28,27,0,0,1560,1305,1540,1300,1490,1310,,,2045,1970,1330,2590,2575,2255,2.419,0,,,,0.075,0.103,0.152,0.095,0.122,0.152,,,0.841,0.55,0.017,0.033,,,,,,,,,,,,,,,0.24199
1974,,4,,21,21,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,40,40,1,0,1920,1675,1890,1670,1400,1265,,,2575,2575,1325,3590,3475,2620,3.464,0,,,,0.082,0.128,0.164,0.109,0.142,0.168,,,0.841,0.55,0.031,0.044,,,,,,,,,,,,,,,0.269745
1975,,4,,22,22,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,49,48,1,0,2210,1945,2155,1875,1755,1315,,,3025,2985,2165,4040,3955,3440,3.199,0,,,,0.101,0.136,0.161,0.123,0.144,0.165,,,0.84,0.55,0.034,0.055,,,,,,,,,,,,,,,0.287627
1976,,4,,23,23,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,53,51,2,0,2365,1930,2285,1770,1825,1305,,,3095,2985,2560,4700,4635,3610,3.496,0,,,,0.1,0.146,0.183,0.13,0.163,0.184,,,0.841,0.551,0.067,0.092,,,,,,,,,,,,,,,0.302189
1977,,4,,24,24,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,58,56,2,0,2440,1750,2350,1740,2240,1415,,,3255,3095,2660,5055,4970,4935,3.667,0,,,,0.095,0.15,0.175,0.133,0.157,0.182,,,0.841,0.55,0.084,0.108,,,,,,,,,,,,,,,0.322139
1978,,4,,28,28,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,72,69,3,0,2540,2000,2435,1845,1945,1705,,,3435,3370,2950,5145,4990,3815,3.534,0,,,,0.078,0.114,0.151,0.102,0.123,0.155,,,0.84,0.55,0.062,0.09,,,,,,,,,,,,,,,0.346492
1979,,4,,34,34,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,94,88,5,0,2795,2160,2630,2135,2640,2135,,,3840,3515,3475,5375,5120,4720,3.552,0,,,,0.08,0.103,0.129,0.091,0.109,0.132,,,0.84,0.55,0.056,0.077,,,,,,,,,,,,,,,0.381639
1980,,4,,44,44,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,126,118,9,0,2875,2175,2685,2150,2655,2040,,,3865,3635,3050,5750,5255,7115,3.831,0,,,,0.059,0.079,0.117,0.067,0.084,0.12,,,0.84,0.55,0.039,0.065,,,,,,,,,,,,,,,0.42186
1981,,4,,72,72,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,214,199,15,0,2955,2175,2750,2160,2870,2115,,,4165,3840,4265,5720,5160,6870,3.318,0,,,,0.066,0.089,0.125,0.075,0.098,0.13,,,0.84,0.55,0.048,0.075,,,,,,,,,,,,,,,0.452594
1982,,4,,112,111,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,342,317,25,0,3065,2210,2850,2185,3070,2380,,,4240,4050,4280,5970,5265,5795,3.183,0,,,,0.052,0.081,0.109,0.064,0.09,0.112,,,0.84,0.55,0.048,0.06,,,,,,,,,,,,,,,0.474364
1983,,4,,150,149,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,539,499,40,0,3600,3020,3340,2655,3830,2780,1275,1275,4400,4295,4725,6440,6305,8530,3.43,1,,,,0.072,0.098,0.121,0.084,0.106,0.122,,,0.844,0.55,0.058,0.067,,,,,,,,,,,,,,,0.491878
1984,,4,,164,164,1,10,0,,,,,,,,,,,,,,,,,,,,,,,,,656,603,53,0,3990,3495,3680,3270,4950,4205,,,5245,4825,6660,7225,6580,10305,3.49,1,,,,0.084,0.112,0.133,0.097,0.117,0.137,,,0.846,0.552,0.068,0.078,,,,,,,,,,,,,,,0.509814
1985,,4,,189,188,1,13,0,,,,,,,,,,,,,,,,,,,,,,,,,806,731,75,0,4270,3790,3885,3410,5590,4265,,,5855,5285,8095,8105,7440,12730,3.663,1,,,,0.096,0.116,0.139,0.105,0.123,0.142,,,0.846,0.553,0.063,0.075,,,,,,,,,,,,,,,0.528431
1986,,4,,203,202,1,14,0,,,,,,,,,,,,,,,,,,,,,,,,,914,815,99,0,4505,3880,4040,3470,6465,4345,3840,2370,6255,5645,8545,8425,7945,13800,3.688,1,,,,0.082,0.108,0.133,0.094,0.114,0.138,,,0.846,0.556,0.062,0.076,,,,,,,,,,,,,,,0.536539
1987,,4,,199,198,1,14,0,,,,,,,,,,,,,,,,,,,,,,,,,941,829,112,0,4740,4080,4195,3715,7405,5055,1445,1445,6320,5920,9240,8560,8200,16310,3.382,1,,,,0.081,0.106,0.14,0.091,0.113,0.145,,,0.846,0.551,0.075,0.091,,,,,,,,,,,,,,,0.556903
1988,,4,,200,199,1,15,0,,,,,,,,,,,,,,,,,,,,,,,,,997,857,140,0,4985,4175,4315,3810,8345,5855,3525,3230,6455,6185,10485,9090,8375,18300,3.347,2,,,,0.092,0.12,0.157,0.106,0.13,0.162,,,0.846,0.547,0.083,0.112,,,,,,,,,,,,,,,0.580705
1989,,4,,191,190,1,16,0,,,,,,,,,,,,,,,,,,,,,,,,,1040,871,170,0,5455,4200,4585,3945,10040,6430,2330,2275,7040,6350,13245,10125,8840,23580,3.205,2,,,,0.093,0.126,0.166,0.109,0.137,0.17,,,0.844,0.545,0.096,0.118,,,,,,,,,,,,,,,0.60299
1990,,4,,183,182,2,16,0,,,,,,,,,,,,,,,,,,,,,,,,,1088,894,194,1,5930,4375,4920,4140,11040,7915,2830,2885,7685,6755,16055,11235,9450,23255,3.229,2,,,,0.1,0.136,0.179,0.117,0.145,0.182,,,0.845,0.545,0.107,0.127,,,,,,,,,,,,,,,0.631967
1991,,4,,185,183,2,15,1,,,,,,,,,,,,,,,,,,,,,,,,,1144,959,185,2,6190,4485,5240,4200,11115,7120,3565,2825,8095,7270,14825,11915,10400,26675,3.125,2,,,,0.097,0.132,0.174,0.114,0.143,0.178,,,0.84,0.542,0.104,0.124,,,,,,,,,,,,,,,0.648323
1992,,4,,184,182,2,17,1,,,,,,,,,,,,,,,,,,,,,,,,,1276,1024,252,2,6935,4905,5640,4370,13025,9545,3400,3075,9055,7840,18075,13880,11420,28820,3.278,2,,,,0.092,0.132,0.176,0.11,0.141,0.182,,,0.84,0.543,0.117,0.144,,,,,,,,,,,,,,,0.665147
1993,,4,,200,197,3,20,1,,,,,,,,,,,,,,,,,,,,,,,,,1520,1204,315,3,7615,5505,6130,4880,13955,9905,3760,3020,9915,8565,19240,14595,12065,33200,3.206,2,,,,0.092,0.13,0.172,0.109,0.138,0.175,,,0.84,0.54,0.116,0.194,,,,,,,,,,,,,,,0.679709
1994,,4,,211,207,4,19,1,,,,,,,,,,,,,,,,,,,,,,,,,1686,1358,328,5,7980,5895,6545,5145,14095,9780,4745,3550,10385,9165,18640,15525,13085,32615,2.906,2,,,,0.082,0.122,0.164,0.099,0.133,0.168,,,0.848,0.537,0.131,0.204,,,,,,,,,,,,,,,0.694281
1995,,4,,227,223,4,19,1,,,,,,,,,,,,,,,,,,,,,,,,,2139,1710,428,4,9425,7015,7680,6140,18150,12625,7260,5325,12115,10705,24435,18075,14920,41600,2.948,2,,,,0.09,0.124,0.163,0.106,0.135,0.165,,,0.854,0.566,0.147,0.226,42815,0.548,0.401,0.413,76534,0.087,0.061,0.026,34295,13445,48535,34295,,,0.707602
1996,,4,,243,238,5,23,1,,,,,,,,,,,,,,,,,,,,,,,,,2643,2126,516,6,10885,8525,8925,7475,18710,13035,7395,4565,14350,12665,24590,20570,17210,44090,3,2,0.584,0.035,0.564,0.081,0.118,0.15,0.099,0.129,0.153,0.065,0.15,0.881,0.57,0.319,0.236,42825,0.544,0.479,0.44,65193,0.215,0.078,0.035,32320,15750,54155,32270,38120,,0.724261
1997,,4,,260,254,6,27,1,,,,,,,,,,,,,,,,,,,,,,,,,3334,2598,736,9,12840,10350,10245,8755,22020,15630,9240,5490,16410,14655,28775,24735,19575,52575,3.192,2,0.56,0.039,0.537,0.07,0.101,0.135,0.088,0.108,0.139,0.061,0.124,0.898,0.593,0.355,0.26,45830,0.576,0.502,0.424,51521,0.044,0.106,0.04,33875,16810,55240,33890,26760,,0.732323
1998,,4,,274,267,6,27,1,,,,,,,,,,,,,,,,,,,,,,,,,3980,3168,811,5,14545,11365,11845,10330,24130,16555,8235,3755,18655,16605,31480,28735,23105,56955,3.289,2,0.529,0.036,0.509,0.062,0.091,0.128,0.073,0.099,0.134,0.051,0.101,0.892,0.609,0.314,0.251,47005,0.581,0.535,0.424,52055,0.119,0.117,0.04,35480,18460,55865,35435,28540,,0.738253
1999,,4,,295,290,6,36,1,,,,,,,,,,,,,,,,,,,,,,,,,4751,3655,1096,7,16090,12630,12625,11005,26485,18765,7310,4350,20470,17610,35350,32360,24520,61060,3.46,3,0.54,0.04,0.519,0.05,0.079,0.113,0.062,0.087,0.117,0.043,0.086,0.889,0.616,0.315,0.253,49540,0.648,0.533,0.411,53222,0.134,0.113,0.04,38920,18430,57235,38895,34240,20,0.753413
2000,,4,,305,297,8,39,1,,,,,,,,,,,,,,,,,,,,,,,,,5173,3910,1263,13,16940,13065,13155,11360,26860,17895,11785,5030,20890,18095,36405,34640,25685,62425,3.516,3,0.543,0.042,0.52,0.052,0.085,0.121,0.065,0.094,0.127,0.04,0.096,0.894,0.647,0.315,0.249,52395,0.707,0.545,0.391,55107,0.121,0.099,0.037,44225,18905,59110,44190,34890,20,0.77168
2001,,4,,295,288,7,39,1,,,,,,,,,,,,,,,,,,,,,,,,,5458,4017,1442,10,18505,14010,13970,12165,30860,19580,9765,5350,22290,19190,38680,38330,27140,70755,3.71,3,0.563,0.044,0.536,0.049,0.077,0.111,0.06,0.085,0.115,0.035,0.094,0.893,0.678,0.31,0.249,55245,0.733,0.549,0.4,58199,0.116,0.091,0.036,46725,20600,60145,46730,35670,20,0.779909
2002,,4,,291,285,6,42,1,,,,,,,,,,,,,,,,,,,,,,,,,5565,4079,1486,18,19130,14470,14315,12535,31085,20305,12565,6770,22980,19580,38940,40385,27970,68310,3.755,3,0.576,0.045,0.55,0.048,0.073,0.106,0.058,0.08,0.112,0.033,0.091,0.908,0.722,0.3,0.25,57265,0.755,0.541,0.394,58921,0.114,0.086,0.036,49365,19920,61795,49395,41235,20,0.796383
2003,,4,,310,305,5,49,1,,,,,,,,,,,,,,,,,,,,,,,,,6147,4436,1711,16,19815,14655,14535,12795,31470,20415,10515,6310,23705,19775,39755,41765,28575,69260,3.995,3,0.586,0.052,0.557,0.044,0.073,0.106,0.054,0.081,0.111,0.031,0.087,0.919,0.744,0.291,0.239,58965,0.768,0.548,0.392,60022,0.109,0.084,0.035,51145,21965,62260,51190,48660,20,0.811654
2004,,4,,341,334,6,60,2,,,,,,,,,,,,,,,,,,,,,,,,,6998,4976,2022,23,20535,15120,14875,13160,30720,20315,12655,7615,24490,20070,37545,43385,29190,67070,4.143,3,0.633,0.055,0.604,0.042,0.07,0.104,0.053,0.08,0.109,0.031,0.092,0.922,0.755,0.298,0.241,61810,0.775,0.557,0.389,60993,0.1,0.08,0.033,52815,21295,64655,52790,50380,20,0.834702
2005,,4,,396,389,7,75,3,,,,,,,,,,,,,,,,,,,,,,,,,8469,5960,2509,33,21385,15770,15310,13690,30845,21325,13025,6370,25600,20460,38470,44905,29820,62270,4.312,3,0.666,0.059,0.637,0.038,0.066,0.096,0.05,0.074,0.101,0.026,0.097,0.929,0.771,0.303,0.233,62875,0.787,0.558,0.388,60627,0.102,0.081,0.034,54985,22185,65865,54820,52415,20,0.858669
2006,,4,,411,406,6,82,3,,,,,,,,,,,,,,,,,,,,,,,,,9387,6523,2864,42,22825,16595,16080,14470,32740,23465,16520,9085,27625,21510,39500,48335,31690,67890,4.463,3,0.689,0.063,0.657,0.048,0.077,0.108,0.06,0.085,0.113,0.03,0.128,0.944,0.787,0.328,0.256,62755,0.789,0.568,0.378,60373,0.106,0.082,0.034,54040,22540,64945,54015,53680,20,0.876992
2007,,4,,361,355,6,67,3,,,,,,,,,,,,,,,,,,,,,,,,,8294,5851,2442,34,22995,16650,16480,14510,33560,24680,12970,7640,28960,22380,41040,49140,33470,68575,4.5,3,0.691,0.073,0.656,0.059,0.096,0.14,0.075,0.108,0.145,0.039,0.156,0.949,0.795,0.352,0.285,62855,0.801,0.565,0.391,60742,0.112,0.082,0.034,53890,20260,64215,53865,51895,20,0.906824
2008,,4,,384,374,10,72,2,,,,,,,,,,,,,,,,,,,,,,,,,9262,6213,3049,39,24120,16555,16595,14565,37580,28455,17250,10855,29605,22000,46780,52040,34125,77220,4.665,3,0.713,0.075,0.679,0.064,0.107,0.165,0.083,0.123,0.174,0.046,0.173,0.937,0.744,0.36,0.303,64285,0.805,0.574,0.38,60817,0.111,0.083,0.034,54650,20170,65185,54530,51215,20,0.910217
2009,,4,,456,442,13,88,3,,,,,,,,,,,,,,,,,,,,,,,,,11529,7407,4122,37,25300,16730,16750,14705,40750,28840,13425,8715,30070,22240,50455,54250,33700,87210,4.848,3,0.737,0.084,0.699,0.064,0.113,0.173,0.087,0.13,0.179,0.053,0.184,0.934,0.716,0.381,0.317,66010,0.818,0.572,0.382,61125,0.11,0.082,0.034,56955,21810,66545,56910,55510,19,0.929017
2010,,4,,461,447,14,93,3,,,,,,,,,,,,,,,,,,,,,,,,,13329,8491,4839,66,28925,19180,19010,16455,45230,32000,18880,12410,34560,24775,56250,61845,38505,104825,5.178,3,0.743,0.084,0.704,0.072,0.119,,0.095,0.135,,0.056,0.209,0.956,,0.428,,67090,0.815,0.582,0.371,61505,0.112,0.082,0.034,56885,20145,66830,56750,55245,19,0.941916
