fy,full_sample,sel_index,typen,borrowers,undergrad_bor,grad_bor,both_grad_undergrad,parplus_bor,tot_bal,undergrad_loans,grad_loans,parplus_loans,mn_tot_bal,md_tot_bal,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,pct75_tot_bal,pct75_undergrad_l,pct75_grad_l,pct90_tot_bal,pct90_undergrad_l,pct90_grad_l,mn_duration_borrowing,md_duration_borrowing,rep_tot,rep_ug,rep_gr,mn_rep_tot_bal,mn_rep_undergrad_l,mn_rep_grad_l,md_rep_tot_bal,md_rep_undergrad_l,md_rep_grad_l,rep_tot_bal,rep_undergrad_l,rep_grad_l,mn_fam_inc,dependent,female,first_gen,median_hh,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,md_par_fam_inc,cpi_adj
1998,,,2,1136,986,34,21,122,9571,7571,1285,716,8425,5250,7680,5170,23365,13750,5890,4255,10440,10180,29285,18405,17385,59585,4.55,1,633,614,29,8005,7340,19410,5000,4855,10245,5065,4510,555,36475,0.39,0.51,0.49,61145.4,0.11,0.09,0.04,26520,20435,41500,26350,34950,36660,0.738253
1999,,,2,1235,1069,38,27,134,11368,8844,1639,885,9205,5820,8275,5685,25020,15735,6625,4730,11440,11015,31630,19995,18670,64265,4.61,1,674,653,33,8895,8005,23165,5515,5290,12790,5995,5225,770,37250,0.39,0.5,0.49,60076.2,0.13,0.09,0.04,26780,20695,41360,26595,36060,34320,0.753413
2000,,,2,1336,1153,43,33,146,13450,10298,2064,1088,10070,6300,8935,6125,27065,18185,7445,5305,12650,12095,35770,21845,20155,67520,4.67,2,716,692,39,9785,8665,25990,6040,5790,14460,7010,6000,1010,38530,0.4,0.5,0.49,60464.3,0.13,0.09,0.04,27540,21445,41840,27310,36190,34415,0.77168
2001,,,2,1465,1260,50,42,163,16052,12095,2608,1350,10955,6725,9595,6600,28500,18720,8300,5880,13810,13125,36840,23750,21690,70280,4.73,2,763,735,46,10740,9355,28450,6555,6240,16630,8190,6870,1320,39740,0.41,0.49,0.49,60286,0.13,0.09,0.04,28265,21920,42440,27990,38480,34510,0.779909
2002,,,2,1630,1401,60,58,177,19345,14424,3323,1597,11870,7155,10295,6800,28320,18695,9015,6350,14920,14205,36340,25815,23115,67690,4.84,2,828,797,54,11590,10010,29655,6975,6650,17730,9595,7980,1615,40910,0.41,0.5,0.49,60313.3,0.14,0.09,0.04,29065,22610,42930,28620,41940,39460,0.796383
2003,,,2,1847,1589,76,82,193,23663,17291,4415,1957,12810,7585,10880,7095,27965,18645,10160,6780,16145,14920,35415,28315,24585,64770,5,2,914,878,67,12430,10575,30885,7320,6945,18780,11360,9290,2070,41100,0.41,0.51,0.49,60045.6,0.14,0.09,0.04,29290,23075,42110,28800,41945,39935,0.811654
2004,,,2,2123,1830,95,113,212,29361,20999,5916,2445,13830,8190,11475,7495,28420,18725,11545,7365,17690,15870,35955,31105,26010,61400,5.12,2,1022,980,85,13250,11130,31165,7625,7170,19375,13550,10915,2635,41560,0.41,0.53,0.49,59815,0.14,0.09,0.04,29640,23615,42110,29010,42885,38730,0.834702
2005,,,2,2431,2101,113,151,234,36057,25460,7794,2802,14835,8870,12115,7955,29500,19925,11975,7875,18950,16900,37345,34045,27480,63405,5.23,2,1177,1123,113,14245,11750,31535,8150,7500,20840,16760,13200,3565,41495,0.41,0.55,0.49,59419.8,0.14,0.1,0.04,29490,23515,41725,28815,42060,40300,0.858669
2006,,,2,2746,2398,125,195,244,44255,30938,10071,3246,16115,9515,12900,8645,31460,23490,13305,8605,20755,18175,38315,37155,29550,68650,5.32,2,1364,1301,147,15340,12480,31790,8850,8045,23310,20920,16235,4690,40880,0.41,0.57,0.49,58943.1,0.15,0.1,0.04,28935,22990,40965,28275,41390,40225,0.876992
2007,,,2,3119,2747,141,248,256,54249,37498,13038,3713,17390,10200,13650,9160,33475,24960,14485,9185,22135,19265,40435,40165,31515,75230,5.39,3,1561,1487,183,16335,13170,32370,9495,8525,24850,25490,19580,5910,40300,0.41,0.58,0.49,58563.8,0.15,0.1,0.04,28385,22515,40340,27710,41195,40070,0.906824
