fy,full_sample,sel_index,typen,borrowers,undergrad_bor,grad_bor,both_grad_undergrad,parplus_bor,tot_bal,undergrad_loans,grad_loans,parplus_loans,mn_tot_bal,md_tot_bal,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,pct75_tot_bal,pct75_undergrad_l,pct75_grad_l,pct90_tot_bal,pct90_undergrad_l,pct90_grad_l,mn_duration_borrowing,md_duration_borrowing,rep_tot,rep_ug,rep_gr,mn_rep_tot_bal,mn_rep_undergrad_l,mn_rep_grad_l,md_rep_tot_bal,md_rep_undergrad_l,md_rep_grad_l,rep_tot_bal,rep_undergrad_l,rep_grad_l,mn_fam_inc,dependent,female,first_gen,median_hh,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,md_par_fam_inc,cpi_adj
1999,,,5,186,176,2,2,9,1084,994,45,45,5820,4005,5665,4000,12845,5120,4825,3480,7455,7395,9835,12710,12650,31380,4.5,1,133,131,3,5775,5525,13600,3950,3915,5075,770,725,45,35665,0.45,0.64,0.5,57684.6,0.15,0.1,0.04,24170,15990,40850,24170,27110,19990,0.753413
2000,,,5,178,167,2,1,10,1098,1002,44,52,6185,4240,6015,4225,13880,5395,5370,3920,7930,7875,10430,13340,13240,40660,4.48,1,125,124,3,6125,5885,14215,4175,4120,5025,770,730,40,36850,0.45,0.63,0.5,55897.4,0.15,0.11,0.04,25000,16740,42745,24860,35125,38995,0.77168
2001,,,5,171,160,2,1,10,1124,1021,45,58,6570,4440,6370,4430,15005,5535,5910,4030,8475,8420,11895,14285,14135,48230,4.48,1,119,118,3,6500,6240,15240,4415,4375,5295,775,735,40,36515,0.45,0.62,0.5,54975.8,0.16,0.11,0.04,25260,16955,43915,25180,42215,38995,0.779909
2002,,,5,169,158,1,1,10,1177,1064,47,66,6975,4570,6725,4575,16275,5785,6720,4155,8960,8885,15880,15095,14835,52705,4.44,1,115,114,3,6890,6610,16695,4575,4550,5125,795,750,40,37165,0.46,0.62,0.5,54467.7,0.16,0.11,0.04,25960,17300,43915,25930,41680,38995,0.796383
2003,,,5,167,156,1,1,10,1212,1098,46,68,7255,4770,7020,4760,16265,5305,6965,4495,9315,9215,13915,15730,15535,53575,4.29,1,113,112,3,7200,6915,16615,4670,4655,5305,815,775,40,37885,0.45,0.62,0.51,54587,0.15,0.11,0.04,25930,17155,45600,25850,40935,65735,0.811654
2004,,,5,167,156,1,1,10,1284,1160,43,82,7700,5030,7430,5010,15790,5250,8110,4805,9795,9700,12970,16625,16200,56450,4.21,1,112,111,2,7495,7245,15950,4850,4845,5205,840,805,35,38605,0.46,0.62,0.52,54672.9,0.16,0.11,0.04,25990,16460,45955,25990,39650,50480,0.834702
2005,,,5,168,157,1,1,10,1337,1205,52,80,7975,5225,7675,5185,19870,6320,7865,4950,10250,10120,18850,17055,16825,66095,4.18,1,113,112,2,7885,7595,18915,5090,5080,5970,890,850,40,38580,0.46,0.63,0.53,54349,0.16,0.11,0.04,25430,16035,45645,25355,39650,49690,0.858669
2006,,,5,169,158,1,1,11,1440,1289,57,93,8540,5535,8180,5510,22675,7020,8835,5355,10860,10760,23610,18635,18135,73695,4.17,1,114,113,2,8340,8020,22120,5300,5270,6300,945,905,45,37835,0.47,0.63,0.53,53806.7,0.17,0.11,0.04,25315,15335,45945,25240,40935,43140,0.876992
2007,,,5,171,160,1,2,11,1536,1377,55,103,8985,5700,8600,5640,21915,7750,9655,5675,11400,11290,22080,19740,19325,68435,4.05,1,113,112,2,8785,8440,23250,5550,5535,6845,995,950,45,36745,0.47,0.63,0.54,53488.4,0.17,0.12,0.04,24275,14520,43510,24250,45740,29385,0.906824
2008,,,5,177,166,1,2,11,1678,1502,53,124,9490,6090,9060,6050,22190,8100,11100,5865,12070,11840,23900,20875,20285,79280,3.89,1,117,116,2,9055,8760,21410,5785,5755,7120,1060,1020,40,36825,0.47,0.63,0.53,53548.7,0.18,0.12,0.04,24010,13875,43280,23920,50425,36025,0.910217
2009,,,5,186,174,1,2,12,1870,1673,59,138,10065,6595,9600,6515,24310,10385,11880,6735,12820,12630,28005,21750,20925,84565,3.73,1,124,123,2,9420,9095,23780,6040,6000,8235,1165,1120,45,36505,0.48,0.62,0.54,53608.1,0.19,0.12,0.04,23710,13175,41940,23650,58755,32860,0.929017
2010,,,5,196,183,1,2,13,2082,1864,66,152,10650,7020,10185,7005,24470,11290,11990,6175,13650,13435,31940,23215,22300,74065,3.56,1,130,130,2,9885,9570,23435,6400,6370,10800,1290,1240,50,36295,0.48,0.62,0.54,53795.7,0.19,0.12,0.04,23410,12950,40445,23370,52000,36025,0.941916
2011,,,5,203,190,1,2,13,2329,2083,72,174,11455,7675,10945,7635,25780,11625,12945,6775,14785,14620,34750,25340,24380,73975,3.39,1,141,140,2,10595,10240,26040,7020,6985,10090,1495,1435,55,36135,0.48,0.62,0.54,54035.2,0.19,0.12,0.04,23065,12705,40035,23015,43475,36025,0.965479
2012,,,5,211,197,1,2,14,2566,2285,76,204,12185,8005,11585,7980,26795,12305,14485,6925,15610,15415,35375,26925,26030,75180,3.3,1,152,152,2,11150,10815,26435,7350,7310,11000,1700,1640,60,35620,0.48,0.62,0.54,53960.9,0.19,0.12,0.04,22315,12130,39965,22250,45150,36800,0.980216
2013,,,5,215,202,1,2,15,2758,2462,85,211,12805,8345,12205,8355,28410,12895,14585,7035,16375,16110,37115,28475,27340,77065,3.21,1,162,161,2,11835,11475,27660,7815,7765,12895,1915,1850,65,35570,0.48,0.61,0.53,53842.3,0.19,0.12,0.04,21940,11745,39230,21925,46745,36800,0.992323
2014,,,5,219,205,1,2,15,2946,2630,91,224,13425,8680,12805,8650,30500,13780,15035,7605,17415,17130,40455,30315,29055,78435,3.14,1,172,171,2,12580,12235,28170,8170,8110,13035,2160,2090,70,35535,0.49,0.6,0.53,53790.6,0.19,0.12,0.04,21905,11505,38935,21865,47920,31190,1
1970,,,6,67,61,6,0,0,84,74,10,0,1260,890,1225,890,1500,1335,,,1335,1335,1335,2135,2000,2670,5.84,1,1,1,0,1445,1435,1220,1325,1045,1330,0,0,0,,,,,,,,,,,,,,,0.209694
1971,,,6,110,100,11,2,0,178,156,22,0,1615,1335,1570,1335,1765,1335,,,2040,1950,2450,2670,2670,2670,5.98,1,5,4,1,1200,1155,1330,870,865,1235,5,5,0,,,,,,,,,,,,,,,0.217343
1972,,,6,155,139,16,3,0,285,249,36,0,1835,1335,1790,1335,1850,1335,,,2585,2450,2670,3435,3210,3560,6.07,1,20,17,3,1270,1245,1360,1035,885,1270,25,20,5,,,,,,,,,,,,,,,0.224633
1973,,,6,201,179,22,7,0,411,353,59,0,2045,1585,1970,1425,2055,1335,,,2670,2670,2670,4000,3740,4005,6.03,1,41,35,6,1520,1480,1590,1240,1205,1280,60,50,10,,,,,,,,,,,,,,,0.24199
1974,,,6,246,217,29,10,0,546,459,87,0,2220,1780,2110,1705,2245,1780,,,2745,2670,2720,4080,4005,4185,6.19,2,67,58,11,1760,1685,1895,1320,1305,1295,120,100,20,,,,,,,,,,,,,,,0.269745
1975,,,6,293,258,35,15,0,692,575,117,0,2365,1780,2225,1780,2385,1805,,,3115,2790,3115,4450,4270,4450,6.33,2,94,81,16,1915,1820,2050,1530,1455,1600,180,145,35,,,,,,,,,,,,,,,0.287627
1976,,,6,354,310,44,23,0,881,718,163,0,2490,1960,2310,1780,2465,1985,,,3275,3070,3115,4895,4450,4735,6.37,2,118,101,21,2060,1955,2140,1650,1575,1715,245,200,45,,,,,,,,,,,,,,,0.302189
1977,,,6,446,390,56,33,0,1198,952,246,0,2690,2225,2440,1965,2775,2225,,,3560,3155,3720,5340,4725,5545,6.33,2,148,127,28,2170,2050,2225,1715,1620,1745,320,260,65,,,,,,,,,,,,,,,0.322139
1978,,,6,564,491,73,49,0,1670,1287,383,0,2960,2225,2625,2225,3125,2225,,,4005,3560,4450,5785,5075,6675,6.3,2,187,158,39,2310,2120,2445,1790,1695,1910,430,335,95,,,,,,,,,,,,,,,0.346492
1979,,,6,791,687,104,72,0,2528,1909,619,0,3195,2225,2780,2225,3520,2595,,,4450,3740,4450,6340,5340,7345,6.16,2,233,197,53,2475,2205,2700,1920,1725,1995,575,435,140,,,,,,,,,,,,,,,0.381639
1980,,,6,1153,998,155,111,0,3956,2908,1048,0,3430,2370,2915,2225,3935,3430,,,4450,4140,4450,6675,5340,8885,5.96,2,296,250,72,2710,2350,2970,2035,1880,2125,800,585,215,,,,,,,,,,,,,,,0.42186
1981,,,6,1573,1347,219,158,6,6144,4349,1776,19,3905,3100,3230,2405,4705,4450,3120,2640,4715,4450,6230,7565,6225,8900,5.79,2,392,329,106,3040,2550,3335,2180,2065,2495,1195,840,350,,,,,,,,,,,,,,,0.452594
1982,,,6,1837,1564,257,189,15,7797,5399,2349,49,4245,3560,3450,2670,5260,4450,3145,2615,5340,4450,7820,8570,6675,10330,5.79,2,546,454,159,3395,2770,3760,2520,2150,3120,1855,1255,600,,,,,,,,,,,,,,,0.474364
1983,,,6,2092,1766,294,214,32,9462,6430,2927,105,4525,3835,3640,3025,5765,4450,3300,2620,5985,4645,8585,8900,6675,12800,5.78,2,740,610,224,3775,3015,4260,3000,2405,3610,2795,1840,955,,,,,,,,,,,,,,,0.491878
1984,,,6,2381,1999,334,242,48,11198,7473,3561,164,4705,3870,3740,3115,6175,4450,3440,2600,6325,4895,8900,8900,6955,13350,5.74,2,949,778,290,4115,3240,4775,3370,2630,3790,3905,2520,1385,,,,,,,,,,,,,,,0.509814
1985,,,6,2667,2230,372,274,66,13019,8542,4245,233,4880,3910,3830,3195,6565,4450,3535,2565,6520,5045,8900,9090,7395,13495,5.68,2,1168,958,353,4365,3400,5210,3505,2830,3900,5095,3255,1840,,,,,,,,,,,,,,,0.528431
1986,,,6,2898,2417,404,301,78,14404,9343,4783,277,4970,3930,3865,3195,6790,4585,3535,2510,6635,5230,9025,9480,7500,14530,5.62,2,1393,1146,417,4530,3485,5560,3530,2835,3990,6310,3995,2315,,,,,,,,,,,,,,,0.536539
1987,,,6,3099,2577,433,325,91,16041,10171,5546,324,5175,3905,3945,3220,7315,5210,3560,2500,6675,5395,10175,10115,7810,15965,5.61,2,1595,1311,478,4705,3550,5960,3550,2820,4175,7505,4655,2850,,,,,,,,,,,,,,,0.556903
1988,,,6,3316,2742,463,349,114,18016,11096,6506,414,5435,3875,4045,3235,8005,5635,3635,2730,6800,5575,10890,10755,8035,17800,5.58,3,1785,1469,535,4870,3590,6390,3520,2800,4225,8690,5270,3420,,,,,,,,,,,,,,,0.580705
1989,,,6,3539,2901,495,371,146,20039,12013,7486,540,5665,3850,4140,3265,8645,6055,3690,3120,7040,5685,11570,11500,8315,20065,5.54,3,1953,1610,579,5040,3650,6855,3495,2790,4305,9845,5875,3970,,,,,,,,,,,,,,,0.60299
1990,,,6,3745,3037,529,389,185,22513,13094,8710,710,6010,3925,4310,3295,9490,6360,3835,3195,7405,5860,12770,12335,8880,22290,5.51,3,2086,1719,618,5280,3735,7435,3450,2810,4655,11015,6420,4595,,,,,,,,,,,,,,,0.631967
1991,,,6,3907,3136,554,397,225,25219,14322,9989,909,6455,4045,4570,3455,10505,7050,4045,3290,7885,6300,14500,13435,9555,24845,5.51,3,2150,1770,633,5650,3905,8270,3525,2840,5000,12140,6910,5230,,,,,,,,,,,,,,,0.648323
1992,,,6,4053,3215,575,399,273,28209,15753,11301,1155,6960,4360,4900,3705,11595,7500,4230,3295,8575,6725,15905,14995,10365,28175,5.51,3,2176,1787,643,6185,4185,9310,3745,3000,5370,13460,7475,5985,,,,,,,,,,,,,,,0.665147
1993,,,6,4187,3300,591,400,307,32245,17709,13059,1477,7700,4905,5365,4000,13175,8725,4805,3320,9505,7500,18615,16975,11360,31035,5.54,3,2180,1788,644,6895,4565,10655,4090,3310,6285,15025,8160,6865,,,,,,,,,,,,,,,0.679709
1994,,,6,4398,3436,626,411,350,38862,20731,16017,2114,8835,5500,6035,4540,15435,10560,6040,3980,10955,8460,21635,19475,12780,36945,5.53,3,2213,1810,656,7645,4985,12045,4545,3595,7260,16915,9020,7895,,,,,,,,,,,,,,,0.694281
1995,,,6,4564,3535,656,429,388,46238,24029,19377,2833,10130,6125,6795,5190,17855,12515,7300,4550,12445,9625,25185,22690,14575,41385,5.52,3,2237,1820,669,8670,5530,13935,5030,4000,8510,19395,10070,9325,55235,0.65,0.58,0.33,57329.9,0.13,0.13,0.04,45255,22385,61160,48565,27140,50470,0.707602
1996,,,6,4784,3689,688,454,425,54541,27777,23112,3652,11400,6710,7530,5605,20220,14575,8595,5125,14250,10675,28920,26005,16315,48055,5.54,3,2315,1879,697,9915,6240,16115,5650,4515,10045,22950,11720,11230,56450,0.67,0.58,0.32,57427.1,0.13,0.12,0.04,46505,22530,61915,49625,27795,49425,0.724261
1997,,,6,4999,3841,713,490,464,63604,31813,27218,4573,12725,7540,8280,6125,22605,16305,9855,5970,15910,11625,33320,29550,17210,55045,5.55,3,2410,1950,739,11370,7025,18535,6520,5000,11860,27395,13700,13695,57355,0.67,0.59,0.32,58648,0.13,0.11,0.04,47240,22855,62315,50365,28435,49295,0.732323
1998,,,6,5333,4113,748,554,496,73880,36657,31688,5534,13855,8225,8915,6385,24340,16360,11165,6760,16940,12735,35170,32805,18950,59215,5.58,3,2613,2120,814,13615,8235,22265,7545,5670,14000,35580,17455,18120,58250,0.68,0.59,0.32,61551.9,0.13,0.1,0.04,47995,23170,63090,51125,29370,48485,0.738253
1999,,,6,5554,4285,766,601,528,84024,41111,36481,6431,15130,8875,9595,6920,26680,18010,12180,7355,18000,13815,37830,36155,20275,62725,5.61,3,2727,2215,862,15360,9150,25090,8640,6395,15885,41885,20265,21620,59445,0.69,0.59,0.32,64647.5,0.11,0.08,0.03,48845,23280,63850,52215,30380,48235,0.753413
2000,,,6,5737,4422,782,648,562,93997,45426,41193,7378,16385,9540,10275,7620,28810,18845,13135,7955,19170,14535,39565,38875,21730,66585,5.64,3,2820,2285,914,17085,10035,27615,9795,7195,17570,48165,22930,25240,60520,0.69,0.59,0.32,64729,0.11,0.08,0.03,49705,23780,64660,53065,32405,48210,0.77168
2001,,,6,5909,4559,789,695,591,104057,49986,45838,8233,17610,10300,10965,8265,30890,19745,13925,8400,20505,15290,42185,41600,23000,71085,5.69,3,2880,2340,945,18925,10955,30545,10865,8035,19305,54495,25630,28865,61685,0.69,0.59,0.33,64800.1,0.11,0.08,0.03,50330,24145,65175,53820,34075,48235,0.779909
2002,,,6,6163,4758,812,770,630,114888,54765,50880,9244,18640,10805,11510,8760,32180,20300,14670,8705,21690,15930,43460,44180,24345,75000,5.72,3,2991,2441,1000,20470,11695,32690,11640,8615,20375,61230,28550,32675,62780,0.69,0.59,0.33,64973.9,0.11,0.08,0.03,50945,24550,65885,54485,35755,47040,0.796383
2003,,,6,6474,4999,837,864,680,127373,60139,56493,10742,19675,11410,12030,8975,33220,21185,15785,9000,23095,16510,44360,46510,25625,77005,5.73,4,3126,2572,1060,21830,12360,34405,12325,9170,21450,68250,31790,36465,63405,0.69,0.59,0.33,65088.4,0.11,0.08,0.03,51035,24745,66050,54615,37260,47350,0.811654
2004,,,6,6801,5251,864,961,736,141677,65977,62940,12760,20830,12065,12565,9460,34490,22665,17350,9725,24820,17125,45940,49270,26770,78785,5.71,4,3302,2736,1141,23320,13050,36180,13235,9795,23110,77010,35715,41295,64085,0.69,0.59,0.32,65184.3,0.11,0.08,0.03,51305,24685,66495,54910,38770,47355,0.834702
2005,,,6,7120,5506,872,1073,801,157127,72293,70504,14330,22070,12855,13130,10015,36245,24355,17895,10185,26575,17570,47710,52615,28080,82620,5.71,4,3528,2941,1250,25070,13775,38335,14355,10510,25145,88435,40510,47925,64675,0.7,0.59,0.32,65204.7,0.11,0.08,0.03,51670,24535,66970,55380,40035,47545,0.858669
2006,,,6,7415,5781,879,1188,825,174548,79548,78668,16332,23540,13890,13760,10620,38070,25990,19800,11400,28605,18385,50775,56125,29520,85910,5.7,4,3774,3167,1369,26710,14515,40070,15440,11290,26935,100810,45970,54840,65250,0.7,0.6,0.32,65245,0.11,0.08,0.03,52115,24455,67420,55810,41440,47355,0.876992
2007,,,6,7720,6037,912,1301,847,194024,86706,88986,18331,25130,14525,14360,11115,40215,27490,21630,12505,30665,19065,53415,59615,30790,91865,5.68,4,3957,3341,1447,27850,15125,41225,16090,11815,27980,110185,50525,59660,65795,0.7,0.6,0.32,65258.5,0.11,0.08,0.03,52405,24385,67615,56030,42615,46150,0.906824
2008,,,6,8035,6282,960,1406,875,215046,94273,100694,20077,26765,15340,15005,11640,42565,28960,22945,13090,32565,19665,55800,63605,31885,98270,5.66,4,4175,3531,1551,28995,15620,42485,16635,12175,28965,121065,55170,65895,66405,0.71,0.6,0.32,65279.1,0.11,0.08,0.03,52555,24345,67825,56230,43640,45775,0.910217
2009,,,6,8482,6610,1031,1529,933,240513,103999,114367,22125,28355,16205,15735,12560,44670,29865,23710,13440,34165,20405,57960,66980,33255,105660,5.61,4,4499,3805,1695,30105,15985,44025,16980,12380,29930,135430,60815,74610,67175,0.71,0.6,0.32,65365.5,0.11,0.08,0.03,52645,24255,68125,56340,44635,44695,0.929017
2010,,,6,8921,6928,1092,1648,1006,267832,114227,129165,24385,30025,17100,16490,13045,47150,30910,24245,13710,36030,21705,60735,70740,34835,113455,5.56,3,4815,4076,1832,31510,16485,46145,17610,12620,30590,151710,67195,84515,67450,0.71,0.6,0.32,65486.4,0.11,0.08,0.03,52425,23965,68040,56025,45420,42620,0.941916
2011,,,6,9386,7275,1145,1767,1089,299972,126576,145724,27588,31960,18100,17400,13530,50045,32005,25340,14435,38295,23365,64315,75215,37035,121860,5.51,3,5185,4394,1991,33330,17250,48730,18470,12960,31660,172820,75810,97005,67380,0.71,0.6,0.32,65480.5,0.11,0.08,0.03,51985,23660,67700,55505,46025,39240,0.965479
2012,,,6,9720,7563,1175,1876,1112,331353,138366,162205,30687,34090,19230,18295,14050,53170,33635,27590,15870,40775,24740,68090,80475,39225,131425,5.45,3,5599,4758,2157,35210,18055,51565,19430,13275,32915,197140,85900,111240,67230,0.71,0.6,0.32,65392.6,0.11,0.09,0.03,51415,23280,67205,54820,46270,38785,0.980216
2013,,,6,9978,7798,1194,1967,1122,360738,149754,177433,33457,36155,20370,19205,14625,56120,35060,29830,16795,43220,26215,72040,85785,41595,139100,5.37,3,6017,5128,2319,37235,19030,54515,20555,13800,34355,224020,97580,126435,66995,0.71,0.6,0.32,65280.9,0.11,0.09,0.03,50950,22960,66605,54130,46620,38110,0.992323
2014,,,6,10263,8057,1212,2066,1139,391288,161779,192982,36441,38125,21245,20080,15075,58865,36225,32005,17495,45565,27620,75415,91075,44080,146550,5.26,3,6482,5551,2484,39335,20180,57560,21670,14520,35585,254955,112005,142950,66880,0.72,0.6,0.32,65159.3,0.11,0.09,0.03,50425,22595,66130,53495,46785,35905,1
