full_sample,sel_index,typen,fy,borrowers,mn_earnings,md_earnings,p25_earnings,p75_earnings,mn_tot_inc,md_tot_inc,unemployed,in_pov,near_pov,mn_debt_service,mn_grad2_earnings,mn_grad4_earnings,mn_grad0_earnings,md_debt_service,mn_tot_bal,md_tot_bal,mn_undergrad_l,md_undergrad,mn_grad_l,md_grad_l
,6,,2002,852,77750,60500,41003,93565,101250,81500,0.092,0.084,0.109,6865,56500,72750,64000,5080,35965,22020,12585,7505,35595,21690
,6,,2003,879,77500,60250,40498,93919,101500,81750,0.097,0.088,0.113,6740,55250,73750,64750,4960,37395,22935,12630,7555,37020,22550
,6,,2004,914,77500,60250,40037,92993,102500,82250,0.096,0.088,0.114,6595,53250,74500,66500,4825,38570,23895,12795,7590,38170,23420
,6,,2005,978,77500,59500,38899,92633,103250,81750,0.093,0.088,0.115,6510,57000,74750,67750,4810,40335,25620,12950,7490,39945,25090
,6,,2006,1040,79500,60500,39629,95239,106000,83250,0.093,0.089,0.114,6525,60000,77500,69750,4890,41960,27750,13725,7790,41560,27290
,6,,2007,1075,82500,62000,41359,97819,110250,86000,0.093,0.087,0.11,6610,62750,81750,72250,4965,42140,28295,13825,7610,41740,27880
,6,,2008,1122,86250,65000,43643,101870,113500,89250,0.094,0.086,0.109,6765,64250,86500,74750,5080,43595,29400,14245,7970,43190,29000
,6,,2009,1196,84250,64250,42324,100097,109750,86750,0.103,0.092,0.117,6985,59000,84500,73000,5165,44590,29850,14885,7940,44190,29430
,6,,2010,1263,84500,63500,41548,100340,110500,86750,0.106,0.092,0.117,7310,56000,85000,73000,5320,46210,30230,15505,8105,45805,29825
,6,,2011,1341,84500,62750,40578,99911,110000,85500,0.107,0.095,0.122,7630,57250,85500,72500,5460,47435,30270,16085,8600,47035,29890
,6,,2012,1419,85000,62250,40042,100162,111500,85250,0.106,0.097,0.123,8000,55500,85750,73000,5625,49200,30710,16450,8935,48825,30315
,6,,2013,1485,85000,62500,40092,99741,111750,85250,0.106,0.098,0.126,8400,54000,86250,72750,5815,51260,31205,17210,9225,50870,30795
,6,,2014,1543,85500,63000,40562,100718,105250,79500,0.127,0.125,0.151,8825,55250,87250,72750,6025,53885,32020,18095,9620,53485,31555
,,1,1999,2852,25000,21250,10652,33991,26500,18750,0.268,0.441,0.562,1380,25500,34750,21000,940,6360,4690,6260,4680,13540,5575
,,1,2000,2752,26000,22000,11103,35370,28000,19750,0.266,0.428,0.548,1345,27000,36750,22500,940,6585,4790,6460,4780,14810,5775
,,1,2001,2670,27500,23000,11481,37188,29500,21500,0.279,0.403,0.52,1385,29250,39000,24000,990,6975,4995,6830,4980,16560,6095
,,1,2002,2631,26750,23000,11138,36671,29000,20750,0.299,0.417,0.53,1380,28250,38250,23500,985,7285,5110,7100,5095,18550,6470
