fy,full_sample,sel_index,typen,borrowers,undergrad_bor,grad_bor,both_grad_undergrad,parplus_bor,tot_bal,undergrad_loans,grad_loans,parplus_loans,mn_tot_bal,md_tot_bal,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,pct75_tot_bal,pct75_undergrad_l,pct75_grad_l,pct90_tot_bal,pct90_undergrad_l,pct90_grad_l,mn_duration_borrowing,md_duration_borrowing,rep_tot,rep_ug,rep_gr,mn_rep_tot_bal,mn_rep_undergrad_l,mn_rep_grad_l,md_rep_tot_bal,md_rep_undergrad_l,md_rep_grad_l,rep_tot_bal,rep_undergrad_l,rep_grad_l,mn_fam_inc,dependent,female,first_gen,median_hh,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,md_par_fam_inc,cpi_adj
1972,,4,,124,124,0,2,0,215,212,3,0,1730,1335,1710,1335,1315,1335,,,2225,2225,1335,3115,3115,2210,5.66,1,15,15,0,1190,1180,1265,875,875,945,20,20,0,,,,,,,,,,,,,,,0.224633
1973,,4,,150,150,0,3,0,278,273,5,0,1850,1335,1820,1335,1485,1335,,,2575,2490,1640,3560,3560,2670,5.73,1,32,32,0,1370,1350,1385,1180,1165,1290,45,45,0,,,,,,,,,,,,,,,0.24199
1974,,4,,176,176,0,5,0,347,339,8,0,1970,1500,1925,1425,1615,1335,,,2670,2670,2095,3875,3760,2950,5.9,1,50,50,1,1555,1535,1345,1250,1230,1200,80,75,0,,,,,,,,,,,,,,,0.269745
1975,,4,,202,201,0,7,0,414,403,11,0,2055,1610,2000,1550,1655,1335,,,2670,2670,2165,4005,3915,3000,6.05,1,68,68,1,1720,1690,1490,1320,1300,1205,120,115,0,,,,,,,,,,,,,,,0.287627
1976,,4,,231,231,0,9,0,493,477,16,0,2135,1715,2070,1640,1760,1335,,,2670,2670,2225,4140,4005,3135,6.31,2,84,84,2,1855,1810,1585,1475,1430,1245,155,150,5,,,,,,,,,,,,,,,0.302189
1977,,4,,278,278,0,12,0,625,601,24,0,2245,1780,2160,1780,1960,1570,,,2910,2745,2225,4450,4230,4005,6.37,2,102,102,3,1930,1875,1700,1515,1485,1270,195,190,5,,,,,,,,,,,,,,,0.322139
1978,,4,,342,342,0,17,0,818,780,38,0,2390,1860,2285,1780,2235,1780,,,3115,3035,2585,4675,4450,4450,6.45,2,123,123,5,2000,1940,1700,1545,1500,1290,245,240,10,,,,,,,,,,,,,,,0.346492
1979,,4,,468,468,1,23,0,1176,1119,58,0,2510,2170,2390,2090,2410,1780,,,3315,3115,2900,4895,4450,4450,6.4,2,149,149,7,2110,2025,1915,1600,1565,1535,315,300,15,,,,,,,,,,,,,,,0.381639
1980,,4,,688,688,1,36,0,1833,1734,99,0,2665,2225,2520,2225,2695,2115,,,3560,3350,3825,5000,4500,5225,6.26,2,184,184,10,2210,2105,2065,1685,1615,1550,405,385,20,,,,,,,,,,,,,,,0.42186
1981,,4,,996,993,1,52,1,2970,2791,175,4,2985,2225,2810,2225,3275,2225,2780,2635,4205,4000,4450,5580,5115,6840,6.13,2,245,245,15,2355,2220,2295,1860,1770,1575,575,545,35,,,,,,,,,,,,,,,0.452594
1982,,4,,1186,1179,2,64,5,3807,3542,252,14,3210,2225,3005,2225,3775,2770,2740,2565,4450,4320,4450,6230,5745,8900,6.1,2,339,338,23,2525,2365,2495,2045,1995,1845,855,800,55,,,,,,,,,,,,,,,0.474364
1983,,4,,1374,1358,3,78,13,4711,4328,346,38,3430,2500,3190,2280,4265,3265,2885,2560,4450,4450,5240,6675,6295,8900,6.1,2,463,462,32,2810,2620,2805,2145,2105,2040,1300,1210,90,,,,,,,,,,,,,,,0.491878
1984,,4,,1596,1569,5,94,23,5707,5175,464,68,3575,2545,3300,2450,4690,3705,3010,2530,4450,4450,6070,6675,6585,10345,6.05,2,599,596,42,3055,2835,3215,2340,2190,2170,1825,1690,135,,,,,,,,,,,,,,,0.509814
1985,,4,,1827,1787,6,111,34,6781,6070,607,104,3710,2670,3395,2500,5175,4105,3085,2505,4595,4450,7080,7165,6675,11830,6,2,751,748,54,3270,3015,3680,2520,2385,2590,2455,2255,200,,,,,,,,,,,,,,,0.528431
1986,,4,,2011,1960,8,125,43,7635,6765,737,133,3800,2755,3450,2580,5550,4200,3120,2485,4800,4450,7740,7385,6675,13350,5.98,2,910,906,67,3430,3135,4180,2635,2500,2925,3125,2840,280,,,,,,,,,,,,,,,0.536539
1987,,4,,2163,2098,10,138,55,8478,7397,902,178,3920,2875,3525,2675,6090,4220,3220,2475,5000,4610,8320,7715,6910,14150,5.97,2,1056,1050,80,3545,3210,4620,2675,2510,3150,3745,3375,370,,,,,,,,,,,,,,,0.556903
1988,,4,,2317,2228,13,151,78,9437,8072,1107,259,4075,2960,3625,2745,6765,4405,3335,2550,5245,4845,8920,8020,7290,15840,5.95,2,1187,1178,94,3675,3285,5185,2715,2545,3330,4360,3870,485,,,,,,,,,,,,,,,0.580705
1989,,4,,2485,2364,16,163,108,10477,8788,1312,378,4215,3030,3715,2785,7325,4650,3515,3085,5365,5000,9770,8425,7595,17800,5.93,2,1303,1293,107,3795,3350,5770,2745,2590,3490,4945,4330,615,,,,,,,,,,,,,,,0.60299
1990,,4,,2645,2487,20,178,141,11766,9667,1576,524,4450,3105,3885,2840,7985,5115,3705,3165,5580,5210,10675,9010,8010,19490,5.92,3,1388,1375,120,3955,3440,6345,2775,2620,3630,5490,4730,760,,,,,,,,,,,,,,,0.631967
1991,,4,,2801,2602,25,190,178,13337,10748,1887,702,4760,3235,4130,2990,8775,5505,3935,3205,6015,5460,11570,9845,8665,21805,5.89,3,1443,1427,130,4175,3600,6885,2820,2680,3975,6025,5135,890,,,,,,,,,,,,,,,0.648323
1992,,4,,2936,2693,32,199,217,15128,12019,2204,905,5155,3495,4465,3230,9545,6145,4160,3270,6575,5990,12725,10715,9420,23075,5.89,3,1455,1434,139,4535,3855,7700,2985,2770,4535,6595,5525,1065,,,,,,,,,,,,,,,0.665147
1993,,4,,3107,2835,38,211,240,17680,13978,2629,1073,5690,3835,4930,3605,10570,6940,4465,3255,7275,6625,14535,11915,10525,26035,5.88,3,1470,1445,149,5010,4210,8590,3300,3000,4970,7370,6085,1285,,,,,,,,,,,,,,,0.679709
