fy,full_sample,sel_index,typen,new_borrowers,new_undergrad_bor,new_grad_bor,new_parplus_bor,tot_vol,undergrad_loans,grad_loans,parplus_loans,mn_tot_vol,md_tot_vol,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,mn_duration_borrowing,md_duration_borrowing,cpi_adj,age,mn_fam_inc,dependent,female,first_gen,median_hh_inc,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,md_par_fam_inc
1985,,,4,502,439,47,17,1165,921,199,45,2320,2225,2100,2225,4080,4450,2645,2640,5.07,2,0.528431,,,,,,,,,,,,,,,
1986,,,4,438,384,38,16,985,785,159,41,2250,2225,2045,2225,3965,4450,2565,2640,5.11,2,0.536539,,,,,,,,,,,,,,,
1987,,,4,390,337,32,22,912,692,157,62,2340,2225,2055,2225,4705,4450,2830,2640,5.12,2,0.556903,,,,,,,,,,,,,,,
1988,,,4,415,340,36,40,1044,725,196,123,2520,2285,2135,2170,5255,4975,3100,3520,5.05,2,0.580705,,,,,,,,,,,,,,,
1989,,,4,439,350,37,52,1156,776,214,166,2635,2335,2220,2225,5530,5340,3185,3520,5.01,2,0.60299,,,,,,,,,,,,,,,
1990,,,4,478,383,38,58,1389,955,247,187,2905,2625,2495,2500,6200,6325,3235,3520,4.83,2,0.631967,,,,,,,,,,,,,,,
1991,,,4,543,433,43,69,1654,1141,294,219,3045,2625,2635,2625,6575,6875,3200,3520,4.73,2,0.648323,,,,,,,,,,,,,,,
1992,,,4,590,467,47,76,1890,1295,345,250,3205,2625,2775,2625,7090,7500,3285,3520,4.71,3,0.665147,,,,,,,,,,,,,,,
1993,,,4,682,579,48,56,2486,1859,400,226,3645,2625,3210,2625,8080,7500,4050,4000,4.79,3,0.679709,,,,,,,,,,,,,,,
1994,,,4,759,649,55,55,3291,2453,557,281,4335,2950,3780,2625,9625,8500,5070,4000,4.78,3,0.694281,,,,,,,,,,,,,,,
1995,,,4,737,618,55,64,3361,2409,601,350,4560,3205,3900,2625,10325,8500,5480,4875,4.59,3,0.707602,,47880,0.66,0.55,0.37,59262.8,0.14,0.09,0.04,37625,14850,56030,40080,16060,41685
1996,,,4,820,689,55,76,3798,2722,625,451,4630,3075,3950,2625,10960,8500,5895,5000,4.67,3,0.724261,,50600,0.7,0.56,0.36,54061.8,0.11,0.11,0.04,40595,15900,57285,42535,20395,61695
1997,,,4,797,668,52,77,3737,2668,599,471,4685,3075,3990,2625,10980,8500,6085,5140,4.61,3,0.732323,,51475,0.7,0.57,0.36,53678.2,0.11,0.1,0.04,41365,16570,57890,43530,20380,50005
1998,,,4,783,657,46,81,3619,2570,545,504,4620,2815,3915,2625,11280,9000,6245,5265,4.55,3,0.738253,,54840,0.73,0.57,0.35,58142.9,0.14,0.09,0.04,44690,18030,59965,46880,22070,42785
1999,,,4,759,640,43,76,3443,2424,535,483,4540,2625,3785,2625,12100,10000,6380,5500,4.51,3,0.753413,20,57165,0.74,0.57,0.37,60252.6,0.11,0.08,0.03,46930,17760,61910,49330,20270,44920
2000,,,4,771,646,43,82,3636,2513,579,544,4720,2750,3890,2625,12845,10925,6660,5800,4.35,3,0.77168,20,60130,0.76,0.56,0.38,60569,0.11,0.08,0.03,49750,19045,63600,51935,22570,48885
2001,,,4,778,653,43,83,3741,2569,574,598,4805,2900,3935,2625,12910,11245,7215,6190,4.2,3,0.779909,20,62065,0.76,0.57,0.38,60394.6,0.12,0.09,0.03,50990,19020,65170,53660,21110,42015
2002,,,4,841,698,51,93,4247,2838,713,695,5050,3320,4070,2625,13485,12000,7510,6610,4,3,0.796383,20,63210,0.75,0.57,0.36,60859.4,0.11,0.09,0.03,51760,20385,65840,54065,25870,50510
2003,,,4,908,745,56,108,4848,3152,825,870,5335,3500,4230,2625,14150,12905,8065,7000,3.76,3,0.811654,20,61940,0.74,0.57,0.36,60714.6,0.12,0.09,0.03,49590,19045,63995,52050,21115,52520
2004,,,4,954,785,56,113,5268,3387,863,1018,5525,3500,4315,2665,14815,13875,9010,8000,3.5,3,0.834702,20,62715,0.76,0.57,0.36,61189.7,0.11,0.09,0.03,50230,18755,64050,52490,23550,44805
2005,,,4,953,781,58,114,5398,3393,921,1084,5660,3500,4340,2665,15350,15000,9485,8000,3.32,3,0.858669,20,63595,0.77,0.57,0.35,61344,0.12,0.09,0.03,50550,18075,64545,53225,23980,38750
2006,,,4,929,772,56,101,5212,3317,938,957,5610,3500,4295,2625,16210,14215,9465,8110,3.13,3,0.876992,20,65465,0.79,0.57,0.34,61864.6,0.11,0.09,0.03,53115,19160,65740,55510,27275,37820
2007,,,4,904,755,57,92,5495,3560,1033,902,6080,3500,4715,3500,17475,15000,9835,8525,2.93,3,0.906824,20,66565,0.8,0.56,0.34,62105.1,0.11,0.08,0.03,54010,17725,66525,56585,26225,34700
2008,,,4,952,811,56,85,6556,4609,1052,895,6885,5500,5685,5500,18210,15085,10515,9080,2.76,3,0.910217,20,69335,0.81,0.56,0.34,62910.4,0.11,0.08,0.03,55765,18710,67755,58250,28615,37385
2009,,,4,1108,933,68,107,8430,5927,1353,1150,7610,5500,6350,5500,19375,16910,10775,9040,2.42,3,0.929017,20,71440,0.8,0.56,0.34,63509.1,0.11,0.08,0.03,56020,18720,69480,58745,28335,36450
2010,,,4,1138,956,70,113,8608,6010,1408,1189,7560,5500,6285,5500,19635,17000,10480,8710,2.1,2,0.941916,20,66950,0.79,0.56,0.34,63368.8,0.11,0.08,0.03,51700,17445,64935,54045,28870,26605
2011,,,4,1177,990,69,119,8982,6213,1440,1330,7630,5500,6275,5500,20405,17000,11150,9260,1.7,2,0.965479,20,65315,0.79,0.56,0.34,63294.4,0.11,0.08,0.03,48350,16625,61060,50460,27940,24695
2012,,,4,1051,917,53,82,7943,5789,1187,966,7555,5500,6315,5500,21650,19975,11835,10000,1.23,2,0.980216,19,64805,0.81,0.56,0.33,63504.1,0.11,0.08,0.03,48440,15865,60070,50060,29935,26850
