fy,full_sample,sel_index,typen,active_borrowers,active_undergrad_bor,active_grad_bor,active_parplus_bor,tot_vol,undergrad_loans,grad_loans,parplus_loans,mn_tot_vol,md_tot_vol,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,mn_duration_borrowing,md_duration_borrowing,mn_fam_inc,dependent,female,first_gen,median_hh,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,md_par_fam_inc,cpi_adj
2006,,5,,1527,1276,1,252,10166,6371,139,3656,6660,5500,4995,4995,15525,15110,14520,12000,5.45,4,82945,0.91,0.55,0.27,68608.9,0.09,0.07,0.03,72345,20580,77870,72475,50615,57925,0.876992
2007,,5,,1483,1248,1,235,10290,6624,162,3504,6940,5500,5305,4940,18260,17075,14885,12070,5.35,4,83640,0.91,0.55,0.27,68951.3,0.09,0.07,0.03,72975,20290,78305,73170,58300,55865,0.906824
2008,,5,,1496,1276,1,221,11598,8144,173,3281,7755,6070,6380,5500,18260,16635,14875,12110,5.2,4,86215,0.91,0.55,0.26,69369,0.09,0.07,0.03,74320,20165,79705,74620,54795,51205,0.910217
2009,,5,,1647,1397,1,251,13912,9782,257,3873,8450,6500,7000,6500,21545,20500,15455,12660,5.08,4,89325,0.91,0.55,0.26,70069.1,0.08,0.07,0.03,75940,21310,81465,76245,57750,51150,0.929017
2010,,5,,1693,1424,1,271,14414,9853,259,4302,8515,6500,6920,6500,21860,19315,15885,13250,5.02,3,88550,0.91,0.55,0.26,70403.7,0.08,0.07,0.03,75190,21000,80930,75670,60070,44885,0.941916
2011,,5,,1788,1506,2,284,15592,10476,286,4830,8720,6500,6955,6500,21605,20500,16995,14000,4.82,3,87655,0.91,0.55,0.26,70835.2,0.09,0.07,0.03,73710,19965,79750,74270,59280,41645,0.965479
2012,,5,,1717,1474,1,244,14768,10179,205,4384,8600,6500,6905,6500,22025,20500,17935,15000,4.42,3,86865,0.91,0.55,0.26,70839.2,0.09,0.07,0.03,72490,19035,78520,72950,52830,41270,0.980216
2013,,5,,1699,1456,2,244,14657,9937,215,4505,8630,6500,6825,6500,23400,20500,18470,15000,4.06,2,86125,0.91,0.55,0.25,70964.5,0.09,0.07,0.03,71700,19450,77685,72195,49550,41570,0.992323
2014,,5,,1698,1451,2,248,15038,10076,239,4723,8860,6500,6945,6500,23735,20500,19050,15760,3.58,2,87095,0.91,0.55,0.25,71230.6,0.09,0.07,0.03,71785,18845,77890,72455,46635,41245,1
1970,,6,,12,0,12,0,18,0,18,0,1455,1335,,,1455,1335,,,4.05,1,,,,,,,,,,,,,,,0.209694
1971,,6,,15,0,15,0,22,0,22,0,1450,1335,,,1450,1335,,,4.51,1,,,,,,,,,,,,,,,0.217343
1972,,6,,18,0,18,0,25,0,25,0,1415,1335,,,1415,1335,,,5.37,2,,,,,,,,,,,,,,,0.224633
1973,,6,,22,0,22,0,37,0,37,0,1670,1335,,,1670,1335,,,5.66,2,,,,,,,,,,,,,,,0.24199
1974,,6,,25,0,25,0,46,0,46,0,1875,1500,,,1875,1500,,,6.03,3,,,,,,,,,,,,,,,0.269745
1975,,6,,30,0,30,0,57,0,57,0,1915,1780,,,1915,1780,,,5.69,3,,,,,,,,,,,,,,,0.287627
1976,,6,,41,0,41,0,78,0,78,0,1925,1780,,,1925,1780,,,6.01,3,,,,,,,,,,,,,,,0.302189
1977,,6,,53,0,53,0,135,0,135,0,2525,2225,,,2525,2225,,,6.15,3,,,,,,,,,,,,,,,0.322139
1978,,6,,75,0,75,0,222,0,222,0,2955,2225,,,2955,2225,,,5.91,3,,,,,,,,,,,,,,,0.346492
1979,,6,,122,0,122,0,398,0,398,0,3275,3045,,,3275,3045,,,5.56,2,,,,,,,,,,,,,,,0.381639
1980,,6,,201,0,201,0,723,0,723,0,3600,4185,,,3600,4185,,,5.06,2,,,,,,,,,,,,,,,0.42186
1981,,6,,334,0,334,0,1367,0,1367,0,4095,4450,,,4095,4450,,,4.89,2,,,,,,,,,,,,,,,0.452594
1982,,6,,278,0,278,0,1130,0,1130,0,4060,4450,,,4060,4450,,,5.45,3,,,,,,,,,,,,,,,0.474364
1983,,6,,296,0,296,0,1259,0,1259,0,4250,4450,,,4250,4450,,,5.69,3,,,,,,,,,,,,,,,0.491878
1984,,6,,326,0,326,0,1422,0,1422,0,4360,4450,,,4360,4450,,,5.83,4,,,,,,,,,,,,,,,0.509814
1985,,6,,341,0,341,0,1537,0,1537,0,4510,4450,,,4510,4450,,,6.11,4,,,,,,,,,,,,,,,0.528431
1986,,6,,312,0,312,0,1393,0,1393,0,4455,4450,,,4455,4450,,,6.18,4,,,,,,,,,,,,,,,0.536539
1987,,6,,300,0,300,0,1677,0,1677,0,5580,4575,,,5580,4575,,,6.43,5,,,,,,,,,,,,,,,0.556903
1988,,6,,316,0,316,0,1987,0,1987,0,6280,6675,,,6280,6675,,,6.41,5,,,,,,,,,,,,,,,0.580705
1989,,6,,325,0,325,0,2170,0,2170,0,6670,6675,,,6670,6675,,,6.43,5,,,,,,,,,,,,,,,0.60299
1990,,6,,352,0,352,0,2686,0,2686,0,7625,7500,,,7625,7500,,,6.45,5,,,,,,,,,,,,,,,0.631967
1991,,6,,389,0,389,0,3105,0,3105,0,7990,7500,,,7990,7500,,,6.42,5,,,,,,,,,,,,,,,0.648323
1992,,6,,422,0,422,0,3457,0,3457,0,8200,7500,,,8200,7500,,,6.46,5,,,,,,,,,,,,,,,0.665147
1993,,6,,445,0,445,0,4340,0,4340,0,9755,7500,,,9755,7500,,,6.46,5,,,,,,,,,,,,,,,0.679709
1994,,6,,529,0,529,0,6062,0,6062,0,11465,9430,,,11465,9430,,,6.47,5,,,,,,,,,,,,,,,0.694281
1995,,6,,547,0,547,0,6652,0,6652,0,12155,10750,,,12155,10750,,,6.57,5,32095,0.04,0.57,0.24,66568.4,0.12,0.1,0.04,19785,18635,61125,,19785,,0.707602
1996,,6,,592,0,592,0,7487,0,7487,0,12650,11655,,,12650,11655,,,6.76,5,34525,0.09,0.56,0.23,66292.7,0.12,0.08,0.03,22240,19515,67130,,22240,,0.724261
1997,,6,,624,0,624,0,8370,0,8370,0,13410,12200,,,13410,12200,,,6.96,5,35950,0.14,0.55,0.24,67008.5,0.12,0.09,0.04,22965,19455,60945,,22965,,0.732323
1998,,6,,644,0,644,0,8730,0,8730,0,13555,12395,,,13555,12395,,,7.2,6,38100,0.2,0.56,0.24,68072.2,0.1,0.08,0.03,24575,19495,59620,,24575,,0.738253
1999,,6,,644,0,644,0,9174,0,9174,0,14235,13150,,,14235,13150,,,7.44,6,41615,0.28,0.57,0.25,67561.7,0.1,0.08,0.03,27090,18855,59055,,27090,,0.753413
2000,,6,,671,0,671,0,10086,0,10086,0,15030,14095,,,15030,14095,,,7.63,6,45090,0.36,0.58,0.26,67552.2,0.1,0.08,0.03,30765,19475,60510,,30765,,0.77168
2001,,6,,707,0,707,0,10738,0,10738,0,15190,14615,,,15190,14615,,,7.82,6,47725,0.41,0.59,0.25,68021.5,0.1,0.08,0.03,33520,20480,60345,,33520,,0.779909
2002,,6,,793,0,793,0,12397,0,12397,0,15630,15455,,,15630,15455,,,7.98,7,51535,0.45,0.6,0.25,68184.3,0.1,0.08,0.03,37210,22165,62040,,37210,,0.796383
2003,,6,,907,0,907,0,14308,0,14308,0,15780,16010,,,15780,16010,,,8.13,7,53130,0.49,0.6,0.25,67847.4,0.1,0.08,0.03,38850,22155,62275,,38850,,0.811654
